ID,Tweet,Tanggal,Lokasi
1663787179255160832,"Ganjar Pranowo mantap... semangat pak ganjar
#ganjar #capres #Semangat #Indonesia https://t.co/zHWdnvhJR9",2023-05-31 05:59:09,
1663784404916002817,"Sederat Kekhawatiran Anies Baswedan Usai Presiden Jokowi Pilih Cawe-Cawe... https://t.co/hKpspK9ipg lewat @YouTube 
#aniesbaswedan #khawatir #cawecawe #jokowi #pilpres2024 #capres #cawapres #news #update #beritaterkini #kompastv #kompastvjatim https://t.co/buaae8qrKd",2023-05-31 05:48:08,
1663768452207882240,"Demi Gagalkan Pencapresan Anies Baswedan, Denny Indrayana Tuding Jokowi Bajak Demokrat Lewat Moeldoko 
https://t.co/DYtlT3e3w0 
#AniesBaswedan #Capres #demokrat #DennyIndrayana",2023-05-31 04:44:44,
1663753833057767425,"Jokowi Diingatkan Tak Manfaatkan Aparatur Negara untuk Singkirkan Capres Tertentu

#Capres #Lampungpost
https://t.co/re2PA7DeaB",2023-05-31 03:46:39,
1663693018992369664,"""Setetes darah selamatkan jiwa"" 🙏🏻.

garuda mendunia 2045 Denny Indrayana Cawe-cawe No Viral No Justice Diskon 100% Kebangun Laurier Asahi Lapis Diabetes Indonesia vs Argentina pendamping desa #วอลเลย์บอลหญิง #GanjarPranowo #Gubernur #JawaTengah #PMI #GanjarMenangTotal #Capres https://t.co/jpwlq4NlFW",2023-05-30 23:45:00,
1663691760235839489,"""Setetes darah selamatkan jiwa"" 🙏🏻.

garuda mendunia 2045 Denny Indrayana Cawe-cawe No Viral No Justice Diskon 100% Kebangun Laurier Asahi Lapis Diabetes Indonesia vs Argentina pendamping desa #วอลเลย์บอลหญิง #GanjarPranowo #Gubernur #JawaTengah #PMI #GanjarMenangTotal #Capres https://t.co/wO8ldMHXTO",2023-05-30 23:40:00,
1663691256822927360,"""Setetes darah selamatkan jiwa"" 🙏🏻.

garuda mendunia 2045 Denny Indrayana Cawe-cawe No Viral No Justice Diskon 100% Kebangun Laurier Asahi Lapis Diabetes Indonesia vs Argentina pendamping desa #วอลเลย์บอลหญิง #GanjarPranowo #Gubernur #JawaTengah #PMI #GanjarMenangTotal #Capres https://t.co/hKTR4jux6R",2023-05-30 23:38:00,
1663543591044780034,"Kekhawatiran Anies dan Kubunya soal Jokowi Cawe-cawe di Pilpres, Waketum PPP: Jangan Terlalu Lebay 
https://t.co/AnZqh7yfLZ 
#AniesBaswedan #AniesLebay #Capres #JokowiCawe-cawe",2023-05-30 13:51:13,
1663539560578695168,SUMBER REZEKI TERBESAR MENURUT NABI MUHAMMAD SAW https://t.co/yeQXByelTj via @YouTube #capres #prabowo #ganjar #rejeki,2023-05-30 13:35:12,
1663533571892736002,Menko Airlangga Bertemu Menteri Nishimura #AirlanggaHartarto #GolkarIndonesia #Jepang #capres #wapres #pilpres https://t.co/186Ew6rRec,2023-05-30 13:11:25,
1663520987709845505,#AirlanggaHartarto #GolkarIndonesia #pilpres #Capres #Pemilu2024 #TolakProporsionalTertutup https://t.co/Np2YKT8dW1,2023-05-30 12:21:24,
1663520864221163524,"Pembahasan FDN

#airlanggahartarto #golkarindonesia #golkar #fyp #foryoupage #foryou #jokowi #g20 #fypシ #indonesia #pilpres #capres #viral #trending #survei #ganjarpranowo #aniesbaswedan https://t.co/nRaPK34Pw8",2023-05-30 12:20:55,
1663496853240041472,#muhammadiyah #AirlanggaHartartoto #GolkarIndonesia #PartaiGolkar #Golkar2024 #GolkarMenang #capres #cawapres https://t.co/NMHtRRYTnW,2023-05-30 10:45:30,
1663465927189606401,"Wacana Poros Koalisi Keempat, Din Syamsudin: Airlangga Harus Jadi Capres bukan Cawapres dan Bisa Menang https://t.co/h6gAXgzqvG #airlanggahartarto #capres #Capres2024 #DinSyamsudin #partaigolkar #Pilpres #Pilpres2024 #PorosKoalisi",2023-05-30 08:42:37,
1663409875031035905,"Mencari Capres dengan Kepemimpinan yang Kuat di Bidang Perekonomian

https://t.co/2qlLq3jICM
#Capres #CalonPresiden #Kepemimpinan #PerekonomianRI #KepemimpinanRI",2023-05-30 04:59:53,"Place(id='beddf2d6061ea32e', fullName='Jakarta Capital Region, Indonesia', name='Jakarta Capital Region', type='admin', country='Indonesia', countryCode='ID')"
