ID,Tweet,Tanggal,Lokasi
1663826752362381312,"Dipasangkan dengan Siapapun, Mahfud MD jadi Cawapres dengan Elektabilitas Tertinggi di Jawa Timur 
https://t.co/QbHQ3PoIXE 
#Cawapres #FixpollIndonesia #JawaTimur #MahfudMD",2023-05-31 08:36:24,
1663817595932254208,"Ketua DPP Partai NasDem ungkap sosok cawapres yang akan dampingi Anies Baswedan akan diumumkan Koalisi Perubahan dalam waktu dekat.
#ThePhraseID #PartaiNasDem #anies #AniesBaswedan #Capres2024 #cawapres #pemilu @NasDem 
https://t.co/yvtErwVK3f",2023-05-31 08:00:01,
1663789060727672832,"Menguak 3 Cawapres Anies Baswedan Pemilu 2024: PKS, Demokrat hingga NasDem Usulkan Nama Berbeda 
 
https://t.co/vLdntHSHFt lewat @tribunkaltim 

#Cawapres #AniesBaswedan #Pemilu2024 #PKS #Demokrat #NasDem",2023-05-31 06:06:38,
1663784404916002817,"Sederat Kekhawatiran Anies Baswedan Usai Presiden Jokowi Pilih Cawe-Cawe... https://t.co/hKpspK9ipg lewat @YouTube 
#aniesbaswedan #khawatir #cawecawe #jokowi #pilpres2024 #capres #cawapres #news #update #beritaterkini #kompastv #kompastvjatim https://t.co/buaae8qrKd",2023-05-31 05:48:08,
1663772292302909440,"5 th adalah waktu yang singkat utk membangun negara. Dibutuhkan partner yg tepat untuk bersinergi dalam mencapai visi misi yang telah ditentukan bersama.

#cawapres #cawapres2024 #ganjarpranowo #ganjaranapp #ganjarsiap #presiden2024 #pemilu2024 #surveipilpres2024 #capres2024 https://t.co/4lqQhUwsMU",2023-05-31 05:00:00,
1663755343204319232,"Nasdem : Kemungkinan Lusa Anies Umumkan Cawapresnya!

#Nasdem #KoalisiPerubahan #AniesPresidenRI2024 #Pilpres2024 #Succession #MasterChef #Cawapres 

https://t.co/z7R79EEEqF",2023-05-31 03:52:39,
1663733461197406208,"Link: https://t.co/foqZDosgFc

Capres Anies Baswedan bakal segera diumumkan. Pimpinan parpol bakal kumpul untuk tentukan Cawapres Anies.

Selengkapnya di konteks [,,,]

#cawapres #aniesbaswedan #nasdem #beritanasional #Politik #pemilu2024 #beritapolitik #beritaterkini #konteks https://t.co/Y6505nsEma",2023-05-31 02:25:42,
1663722149000138753,"Erick thohir menjadi Cawapres terkuat,  karna rekomendasi dari pak jokowi untuk Ganjar Pranowo.@erickthohir @jokowi @ganjarpranowo #Cawapres #Capres2024 #Presiden #Roketindo #ErickMeroket #BangkitbersamaET #ganjarErickterbaik #GanjarErickpilihanrakyat https://t.co/HgsV3jofII",2023-05-31 01:40:45,
1663722052707291138,"Erick thohir menjadi Cawapres terkuat,  karna rekomendasi dari pak jokowi untuk Ganjar Pranowo.@erickthohir @jokowi @ganjarpranowo #Cawapres #Capres2024 #Presiden #Roketindo #ErickMeroket #BangkitbersamaET #ganjarErickterbaik #GanjarErickpilihanrakyat https://t.co/DDBb8SUtn8",2023-05-31 01:40:22,
1663721446517141504,"Erick thohir menjadi Cawapres terkuat,  karna rekomendasi dari pak jokowi untuk Ganjar Pranowo.@erickthohir @jokowi @ganjarpranowo #Cawapres #Capres2024 #Presiden #Roketindo #ErickMeroket #BangkitbersamaET #ganjarErickterbaik #GanjarErickpilihanrakyat https://t.co/FeZDQ6rQIH",2023-05-31 01:37:57,
