ID,Tweet,Tanggal,Lokasi
1663696642984521729,"@tifsembiring Ini paling ada hubunganx dg pilpres Indonesia 2024 nanti dmn eliktabilitas Mas Anies dlm survey itu turun dibandingkan dg kandidat lain, tpi blm t3nty kalah nanti dlm pemilu kan ??
Mantaaaap jiwa!!
Tapi spa gk tw klo bola itu bundar ???",2023-05-30 23:59:24,
1663696552861499392,Politik lagi manas2nya.... maklum mo pemilu,2023-05-30 23:59:02,
1663696107275419648,@romeogadungan Selama 2 periode kemarin semangat ikut pemilu karna mau milih pak Jokowi. Next 2024 idk mau pilih siapa karna memang ga ada yang sreg di hati. For me pak @jokowi still the best choice❤️,2023-05-30 23:57:16,
1663695965864480768,"Kapolri Dalami Dugaan Kebocoran Putusan MK Terkait Pemilu  Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/bG7nzlz3Zv., menegaskan pihaknya akan menindaklanjuti penyelidikan atas dugaan kebocoran putusan Mahkamah Konstitusi (MK) terkait sistem pemilu. https://t.co/jQBHNxv2A3",2023-05-30 23:56:42,"Place(id='67ee4e65b49cb758', fullName='South Borneo, Indonesia', name='South Borneo', type='admin', country='Indonesia', countryCode='ID')"
1663695625299570688,@Aryprasetyo85 @dennyindrayana @mohmahfudmd Mohon dipercepat penyelidikannya pak @ListyoSigitP biar situasi kondusif sebelum dan saat pemilu pak,2023-05-30 23:55:21,
1663695388422078464,"@OposisiCerdas @veramustikaz Giliran kabar pemilu tertutup, dianggap bocor. Giliran tentara dikirim ke daerah konflik malah di blow up ke media. Goblok...!!!",2023-05-30 23:54:25,
1663695213750263808,"Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/t0J6epbQTT., menegaskan pihaknya akan menindaklanjuti penyelidikan atas dugaan kebocoran putusan Mahkamah Konstitusi (MK) terkait sistem pemilu, Senin (29/5). https://t.co/2rdzbxKiTf",2023-05-30 23:53:43,
1663695113435123712,"@DokterTifa Sepertinya P JKW tdk bilang begitu bu,
Cawe2 yg dimaksud adalah biar pemilu tetap berjalan aman jujur dan adil, jng diplintir kemana mana ya.",2023-05-30 23:53:19,
1663694611888611328,"@SantorinisSun kalo Pak Jokowi mau cari aman setelah tidak menjabat sebagai presiden, ada baiknya ketiga calon sama2 dielus aja, anies bukan tidak punya peluang menang pemilu juga, begitupun Pak PS dan Ganjar, belum tentu menang pemilu juga, setiap era pasti ada Dosanya.",2023-05-30 23:51:20,
1663694318954225664,@abwnews_ Banyak lho orang stlh kalah dlm pemilu stress krn beban utang...aku setuju bikin klinik akibat kalah nyapres,2023-05-30 23:50:10,
1663694292911800321,"8 fraksi DPR dukung sistem pemilu proporsional terbuka
https://t.co/CEZxhoXn4G https://t.co/7hw9bbkplF",2023-05-30 23:50:04,
1663693259980554242,"@dennyindrayana Sistem proporsional tertutup pemilu mudah, rakyat senang, petugas TPS / KPU semangat.....sistem proporsional terbuka pemilu jadi rumit, rakyat susah untuk memilih ( kertas suara jauh lebih besar, pilihan sangat banyak ), petugas TPS / KPU sangat kesulitan dalam menghitung suara",2023-05-30 23:45:57,
1663693020942970880,"@faridgaban Dilansir dari (KBBI), kata cawe-cawe memiliki makna ikut membantu mengerjakan (membereskan, merampungkan) dan ikut menangani). Ya selama ini kan TNI polri ini ikut mengamankan jalannya pemilu",2023-05-30 23:45:00,
1663692906845343746,Mungkin udah saaatnya sistem proporsional tertutup pemilu kedepannya untuk mencegah caleg-caleg yang tidak jelas track recordnya.,2023-05-30 23:44:33,
1663692668231385089,"@Hasbil_Lbs @KSPgoid @PDemokrat @jokowi Kayaknya akan mem-jaran-buta pemilu 24, berbagai macam cara akan dilakukan.",2023-05-30 23:43:36,
